id,status,category,flag,priority
495,Active,0,1,4
496,Inactive,3,0,5
497,Active,8,0,2
498,Active,5,0,5
499,Active,0,1,1
500,Inactive,0,1,2
501,Active,6,0,3
502,Pending,1,1,3
503,Active,0,1,1
504,Active,0,0,3
505,Active,9,1,2
506,Active,5,0,2
507,Active,1,1,5
508,Active,9,1,4
509,Active,6,1,1
510,Pending,8,0,2
511,Active,7,0,5
512,Inactive,0,0,4
513,Pending,4,1,5
514,Inactive,4,0,2
515,Active,5,0,3
516,Active,4,0,5
517,Inactive,1,1,5
518,Pending,6,1,4
519,Active,3,0,1
520,Active,3,0,3
521,Inactive,6,1,3
522,Inactive,2,0,4
523,Active,6,0,2
524,Inactive,9,1,2
525,Inactive,3,1,5
526,Active,8,0,4
527,Inactive,1,0,5
528,Inactive,1,1,2
529,Active,4,1,3
530,Active,4,1,1
531,Inactive,9,0,4
532,Active,3,0,2
533,Active,6,1,5
534,Pending,6,0,1
535,Active,8,0,1
536,Active,4,1,2
537,Active,5,1,5
538,Active,9,0,5
539,Active,8,0,1
540,Active,8,1,4
541,Active,7,0,1
542,Active,6,0,3
543,Active,2,1,2
544,Inactive,6,0,1
545,Active,8,1,5
546,Active,3,1,3
547,Active,2,0,4
548,Inactive,5,1,4
549,Pending,6,1,5
550,Pending,4,1,1
551,Active,9,1,2
552,Inactive,5,0,1
553,Active,0,1,1
554,Pending,1,1,3
555,Pending,2,1,4
556,Active,0,0,3
557,Inactive,8,0,2
558,Inactive,8,1,3
559,Inactive,6,1,5
560,Inactive,1,1,1
561,Active,4,1,1
562,Active,7,1,3
563,Inactive,2,0,2
564,Inactive,1,0,4
565,Inactive,8,0,2
566,Inactive,5,1,5
567,Active,5,1,1
568,Pending,5,0,4
569,Active,9,1,5
570,Active,5,1,3
571,Active,6,1,3
572,Inactive,9,1,1
573,Inactive,5,1,2
574,Inactive,1,0,4
575,Inactive,4,1,5
576,Active,9,1,5
577,Active,3,1,5
578,Inactive,4,0,3
579,Inactive,9,1,2
580,Pending,1,1,1
581,Inactive,2,1,3
582,Pending,1,1,2
583,Active,3,0,2
584,Inactive,1,0,2
585,Active,5,1,2
586,Inactive,3,1,2
587,Inactive,1,1,4
588,Inactive,8,0,2
589,Pending,0,0,5
590,Active,0,1,2
591,Inactive,4,0,3
592,Active,7,0,5
593,Active,2,0,4
594,Pending,7,1,2
595,Inactive,0,1,4
596,Active,5,1,4
597,Active,6,1,4
598,Active,0,0,1
599,Pending,7,1,3
600,Inactive,7,1,5
601,Inactive,3,1,5
602,Inactive,8,0,1
603,Active,3,0,1
604,Pending,0,1,5
605,Active,6,0,3
606,Active,2,0,5
607,Inactive,1,0,2
608,Active,4,0,3
609,Inactive,3,0,2
610,Active,5,0,2
611,Active,1,1,2
612,Active,5,1,4
613,Pending,3,1,4
614,Active,2,0,2
615,Inactive,6,0,5
616,Inactive,0,1,3
617,Pending,6,0,5
618,Active,7,1,4
619,Inactive,3,0,3
620,Active,4,0,5
621,Active,5,1,3
622,Pending,4,1,1
623,Inactive,9,0,1
624,Active,8,0,4
625,Inactive,1,1,5
626,Inactive,4,0,3
627,Inactive,5,1,1
628,Active,8,0,5
629,Active,8,1,4
630,Active,8,1,5
631,Inactive,0,1,3
632,Inactive,8,0,3
633,Active,1,1,3
634,Inactive,5,0,5
635,Active,7,0,5
636,Active,2,0,3
637,Inactive,6,1,2
638,Pending,5,0,2
639,Inactive,6,0,5
640,Inactive,0,1,4
641,Active,5,1,4
642,Pending,2,0,3
643,Active,3,0,2
644,Pending,6,0,2
645,Inactive,2,0,4
646,Inactive,4,1,5
647,Active,2,1,1
648,Inactive,4,1,4
649,Inactive,5,0,5
650,Active,6,0,1
651,Inactive,2,0,3
652,Active,4,1,3
653,Inactive,5,1,2
654,Active,2,1,4
655,Active,9,1,4
656,Pending,9,1,3
657,Active,7,1,4
658,Pending,5,1,5
659,Active,6,0,1
660,Active,9,0,3
661,Active,6,1,4
662,Pending,5,0,3
663,Active,4,0,3
664,Active,5,0,3
665,Inactive,6,1,1
666,Active,1,1,3
667,Active,0,1,1
668,Inactive,6,1,1
669,Active,5,0,4
670,Pending,7,0,4
671,Active,7,1,1
672,Pending,2,1,2
673,Active,8,1,5
674,Inactive,9,1,2
675,Inactive,8,1,2
676,Inactive,9,1,4
677,Active,9,1,3
678,Active,8,1,2
679,Pending,9,0,1
680,Active,2,1,5
681,Pending,9,1,5
682,Pending,4,1,2
683,Pending,7,1,4
684,Active,4,0,1
685,Inactive,7,0,3
686,Active,7,1,2
687,Active,0,0,1
688,Pending,1,1,1
689,Inactive,7,1,2
690,Inactive,0,1,1
691,Pending,8,0,1
692,Pending,8,1,2
693,Active,7,1,5
694,Active,2,1,2
695,Inactive,3,0,5
696,Inactive,8,0,5
697,Inactive,3,0,3
698,Active,4,0,2
699,Active,5,1,1
700,Pending,0,1,1
701,Active,1,1,3
702,Inactive,2,0,1
703,Pending,5,0,3
704,Inactive,1,1,2
705,Active,4,0,4
706,Active,0,0,2
707,Pending,6,0,4
708,Active,6,1,3
709,Pending,8,0,1
710,Inactive,9,0,3
711,Pending,7,0,5
712,Active,0,0,2
713,Inactive,8,0,4
714,Active,8,0,2
715,Active,1,1,1
716,Inactive,8,0,5
717,Active,5,1,5
718,Active,6,1,2
719,Active,1,1,2
720,Active,4,1,2
721,Active,6,1,2
722,Inactive,7,1,4
723,Active,4,1,3
724,Active,4,0,3
725,Active,3,1,4
726,Active,4,1,5
727,Active,3,0,2
728,Active,5,1,3
729,Active,1,0,5
730,Inactive,5,1,2
731,Inactive,3,0,4
732,Inactive,4,1,5
733,Active,2,1,5
734,Active,9,1,3
735,Pending,2,0,2
736,Inactive,3,1,4
737,Active,7,0,1
738,Active,3,0,3
739,Active,0,1,2
740,Pending,1,0,2
741,Pending,3,0,2
742,Inactive,1,1,3
743,Inactive,0,0,3
744,Pending,5,1,1
745,Pending,2,0,3
746,Inactive,1,1,1
747,Pending,4,0,3
748,Pending,2,0,3
749,Active,5,1,1
750,Inactive,8,1,4
751,Pending,8,1,3
752,Pending,5,1,1
753,Active,6,0,3
754,Active,2,0,1
755,Inactive,9,1,2
756,Active,0,1,3
757,Active,4,1,5
758,Inactive,0,1,2
759,Pending,5,0,5
760,Pending,9,1,4
761,Inactive,0,0,2
762,Pending,3,0,1
763,Pending,8,1,1
764,Inactive,4,0,4
765,Inactive,4,1,2
766,Pending,4,1,5
767,Inactive,1,1,5
768,Pending,1,0,3
769,Inactive,3,0,5
770,Active,2,1,3
771,Active,6,1,3
772,Active,8,1,1
773,Active,2,0,4
774,Active,6,0,1
775,Pending,9,0,3
776,Active,0,0,1
777,Inactive,8,1,2
778,Inactive,6,1,4
779,Active,3,1,3
780,Active,1,0,4
781,Active,4,0,3
782,Active,2,0,5
783,Pending,5,0,5
784,Active,8,0,2
785,Active,8,0,1
786,Pending,5,1,4
787,Active,3,1,2
788,Inactive,8,0,5
789,Active,8,1,2
790,Inactive,8,1,1
791,Active,7,1,4
792,Active,8,0,5
793,Active,9,0,4
794,Active,5,0,1
795,Active,4,0,5
796,Pending,1,1,2
797,Active,1,0,2
798,Active,7,1,4
799,Pending,4,1,4
800,Active,3,1,5
801,Inactive,8,0,2
802,Pending,7,0,2
803,Inactive,6,0,4
804,Active,4,1,3
805,Pending,5,0,4
806,Inactive,2,1,2
807,Pending,3,0,4
808,Inactive,7,0,5
809,Pending,7,1,2
810,Pending,7,0,1
811,Active,3,1,4
812,Active,7,0,4
813,Active,4,0,2
814,Active,6,0,5
815,Inactive,5,1,3
816,Active,3,0,5
817,Inactive,1,1,5
818,Active,4,1,5
819,Inactive,1,0,5
820,Inactive,7,1,2
821,Active,7,1,4
822,Active,2,0,2
823,Active,0,1,2
824,Inactive,5,0,3
825,Pending,6,0,1
826,Pending,3,1,5
827,Active,5,1,3
828,Active,4,0,3
829,Pending,0,0,1
830,Inactive,9,1,5
831,Active,0,1,4
832,Active,5,1,1
833,Inactive,5,0,5
834,Inactive,5,1,3
835,Pending,8,1,2
836,Inactive,4,0,2
837,Active,4,1,4
838,Active,7,0,4
839,Inactive,0,1,1
840,Active,2,1,1
841,Active,0,0,3
842,Inactive,8,1,3
843,Pending,2,1,3
844,Pending,6,0,2
845,Inactive,3,1,3
846,Pending,4,1,4
847,Active,4,1,1
848,Active,6,0,2
849,Inactive,0,1,5
850,Active,8,0,3
851,Pending,4,0,1
852,Inactive,6,0,2
853,Pending,0,0,5
854,Pending,3,1,4
855,Inactive,8,0,4
856,Active,1,1,5
857,Active,3,1,5
858,Active,1,0,2
859,Inactive,9,0,2
860,Active,6,1,5
861,Active,7,1,4
862,Active,2,1,4
863,Active,7,0,1
864,Pending,2,1,3
865,Pending,8,0,1
866,Inactive,2,0,1
867,Active,9,0,4
868,Inactive,6,0,1
869,Inactive,1,0,3
870,Pending,8,0,5
871,Inactive,6,1,5
872,Active,4,0,3
873,Active,0,1,5
874,Pending,4,1,1
875,Active,5,0,3
876,Inactive,9,1,2
877,Active,6,0,2
878,Active,2,1,3
879,Pending,4,0,5
880,Active,6,0,5
881,Active,5,0,3
882,Active,7,1,1
883,Pending,2,0,4
884,Active,3,0,5
885,Active,8,1,2
886,Active,6,0,5
887,Inactive,5,1,4
888,Pending,1,1,5
889,Active,0,0,1
890,Active,3,1,3
891,Active,1,1,4
892,Active,7,0,2
893,Pending,7,0,5
894,Inactive,4,1,2
895,Pending,6,1,5
896,Active,1,1,3
897,Pending,0,0,2
898,Inactive,6,0,2
899,Pending,4,1,5
900,Active,4,1,2
901,Inactive,2,0,1
902,Pending,3,0,1
903,Active,8,1,5
904,Active,1,1,2
905,Active,9,1,5
906,Pending,1,1,1
907,Active,4,1,3
908,Pending,4,1,1
909,Pending,2,1,2
910,Inactive,9,1,2
911,Active,5,1,2
912,Inactive,2,0,2
913,Inactive,9,1,1
914,Active,3,1,4
915,Pending,9,0,3
916,Active,6,0,1
917,Pending,6,0,4
918,Active,5,1,4
919,Inactive,5,1,5
920,Active,3,1,2
921,Active,3,1,5
922,Active,8,0,4
923,Inactive,8,0,1
924,Active,9,1,5
925,Inactive,8,1,1
926,Active,4,0,1
927,Active,5,1,5
928,Inactive,6,1,5
929,Active,3,0,1
930,Active,8,1,4
931,Inactive,1,0,4
932,Pending,2,0,1
933,Active,4,1,3
934,Inactive,3,0,5
935,Active,9,1,3
936,Inactive,0,1,1
937,Active,8,1,2
938,Active,0,0,3
939,Active,6,0,3
940,Active,5,0,1
941,Active,3,0,3
942,Inactive,2,0,3
943,Pending,4,0,4
944,Pending,0,1,5
945,Inactive,6,1,5
946,Active,2,1,1
947,Active,7,0,1
948,Inactive,1,0,3
949,Inactive,7,0,2
950,Active,6,1,3
951,Inactive,0,0,5
952,Active,4,0,4
953,Active,0,1,1
954,Active,8,1,5
955,Active,7,1,2
956,Active,2,1,5
957,Active,9,1,2
958,Pending,8,1,2
959,Active,3,1,2
960,Pending,6,0,3
961,Active,0,0,3
962,Pending,9,1,2
963,Pending,7,0,5
964,Active,5,0,1
965,Inactive,4,0,1
966,Pending,8,1,3
967,Inactive,3,1,4
968,Active,9,0,3
969,Inactive,3,1,1
970,Active,7,1,3
971,Inactive,0,0,1
972,Active,2,1,3
973,Active,2,1,3
974,Pending,5,0,4
975,Inactive,2,1,4
976,Pending,2,1,5
977,Active,6,0,3
978,Active,1,0,5
979,Inactive,3,1,1
980,Active,4,0,1
981,Active,9,0,3
982,Active,2,0,1
983,Active,4,0,3
984,Inactive,2,1,3
985,Active,4,1,3
986,Active,7,1,5
987,Active,9,0,3
988,Pending,2,1,5
989,Active,2,1,4
990,Pending,4,0,3
991,Inactive,6,1,3
992,Pending,9,1,1
993,Pending,6,1,1
994,Pending,5,1,3
995,Inactive,6,1,3
996,Inactive,2,0,4
997,Inactive,8,1,1
998,Active,7,1,4
999,Active,2,1,2
1000,Inactive,8,0,1
1001,Active,0,0,5
1002,Pending,8,0,5
1003,Active,8,1,2
1004,Active,9,0,2
1005,Inactive,9,1,2
1006,Inactive,0,0,1
1007,Inactive,5,1,2
1008,Pending,6,1,2
1009,Pending,2,1,4
1010,Active,6,1,4
1011,Active,0,1,5
1012,Inactive,7,0,4
1013,Active,9,0,4
1014,Inactive,0,0,5
1015,Active,4,0,4
1016,Inactive,5,0,3
1017,Inactive,0,0,3
1018,Active,6,1,4
1019,Active,0,0,1
1020,Pending,1,0,5
1021,Pending,7,1,3
1022,Active,5,0,2
1023,Pending,0,0,5
1024,Active,9,1,3
1025,Active,7,0,2
1026,Active,4,1,1
1027,Pending,7,1,4
1028,Active,7,1,5
1029,Inactive,4,0,3
1030,Active,5,1,4
1031,Active,0,1,2
1032,Active,6,0,4
1033,Active,7,1,1
1034,Active,5,0,1
1035,Inactive,5,1,5
1036,Inactive,5,0,1
1037,Active,8,1,5
1038,Inactive,3,0,2
1039,Active,7,1,4
1040,Inactive,9,0,4
1041,Active,3,1,5
1042,Inactive,8,1,3
1043,Pending,5,0,5
1044,Active,2,1,2
1045,Pending,7,0,5
1046,Active,6,1,3
1047,Inactive,6,1,5
1048,Active,6,1,1
1049,Active,1,0,4
1050,Pending,6,0,4
1051,Inactive,0,0,2
1052,Pending,1,0,1
1053,Inactive,7,0,3
1054,Active,8,1,4
1055,Inactive,5,0,3
1056,Active,1,0,3
1057,Pending,5,0,3
1058,Inactive,4,1,3
1059,Pending,4,0,1
1060,Active,9,0,5
1061,Active,1,0,3
1062,Active,0,1,4
1063,Active,9,0,4
1064,Inactive,6,1,1
1065,Active,9,1,2
1066,Pending,3,1,2
1067,Active,3,1,2
1068,Inactive,2,0,1
1069,Active,4,0,3
1070,Pending,3,1,1
1071,Active,9,0,2
1072,Inactive,5,0,1
1073,Active,2,0,4
1074,Inactive,9,1,1
1075,Active,6,0,4
1076,Active,6,0,5
1077,Active,3,0,1
1078,Pending,1,0,3
1079,Inactive,4,1,2
1080,Pending,0,1,1
1081,Active,2,0,4
1082,Inactive,2,0,3
1083,Inactive,7,1,4
1084,Active,1,0,2
1085,Active,6,0,3
1086,Active,9,0,1
1087,Active,1,1,3
1088,Active,5,0,4
1089,Pending,8,1,3
1090,Inactive,8,1,2
1091,Active,0,0,4
1092,Inactive,6,0,4
1093,Active,0,1,5
1094,Active,2,0,2
1095,Inactive,5,1,4
1096,Inactive,1,0,5
1097,Inactive,4,0,3
1098,Active,6,0,3
1099,Active,1,0,2
1100,Inactive,1,0,3
1101,Active,2,0,1
1102,Active,8,0,3
1103,Inactive,0,0,1
1104,Active,5,0,1
1105,Pending,9,1,5
1106,Pending,2,0,3
1107,Active,8,0,4
1108,Active,0,1,1
1109,Inactive,8,1,1
1110,Pending,0,0,1
1111,Active,5,1,1
1112,Active,1,0,3
1113,Pending,6,1,1
1114,Pending,3,0,5
1115,Active,2,1,2
1116,Inactive,5,1,5
1117,Inactive,3,1,2
1118,Inactive,0,1,1
1119,Active,1,0,2
1120,Active,7,1,5
1121,Inactive,2,1,1
1122,Active,5,1,1
1123,Active,7,1,3
1124,Pending,6,1,1
1125,Active,3,1,3
1126,Pending,2,1,4
1127,Pending,0,1,1
1128,Inactive,4,0,4
1129,Active,8,0,2
1130,Inactive,4,0,3
1131,Inactive,7,1,2
1132,Active,9,0,2
1133,Inactive,0,0,5
1134,Inactive,4,1,5
1135,Inactive,1,0,1
1136,Pending,1,1,3
1137,Inactive,3,0,2
1138,Active,8,1,4
1139,Active,2,0,5
1140,Active,9,1,5
1141,Active,1,1,2
1142,Inactive,5,1,1
1143,Pending,8,0,1
1144,Active,1,0,1
1145,Active,8,1,3
1146,Active,2,0,1
1147,Active,4,0,4
1148,Active,6,1,3
1149,Active,2,1,3
1150,Inactive,2,0,1
1151,Active,6,0,3
1152,Inactive,3,1,2
1153,Inactive,6,0,4
1154,Active,4,1,3
1155,Inactive,9,0,4
1156,Inactive,6,1,4
1157,Active,3,1,5
1158,Inactive,8,0,2
1159,Inactive,0,1,3
1160,Pending,9,0,5
1161,Active,1,1,4
1162,Active,7,0,2
1163,Active,4,0,5
1164,Active,0,0,3
1165,Active,6,1,3
1166,Inactive,2,1,1
1167,Active,2,1,1
1168,Active,3,1,2
